time, color, angle
55319, 18, -50
55359, 50, 50
55399, 66, 50
55439, 74, 50
55480, 75, 50
55525, 74, 50
55568, 71, 50
55608, 57, 50
55652, 26, -50
55695, 10, -50
55735, 5, -50
55776, 5, -50
55817, 5, -50
55857, 10, -50
55898, 37, -50
55938, 61, 50
55978, 74, 50
56018, 76, 50
56059, 75, 50
56099, 74, 50
56145, 72, 50
56186, 59, 50
56227, 30, -50
56267, 14, -50
56308, 6, -50
56348, 6, -50
56388, 8, -50
56429, 19, -50
56469, 56, 50
56514, 71, 50
56555, 78, 50
56596, 78, 50
56637, 75, 50
56680, 68, 50
56725, 46, 50
56766, 20, -50
56806, 9, -50
56847, 5, -50
56888, 6, -50
56928, 5, -50
56969, 6, -50
57010, 28, -50
57050, 55, 50
57090, 73, 50
57134, 78, 50
57175, 77, 50
57215, 76, 50
57255, 72, 50
57296, 59, 50
57337, 27, -50
57378, 11, -50
57418, 5, -50
57458, 5, -50
57498, 7, -50
57538, 23, -50
57579, 44, 50
57619, 59, 50
57667, 70, 50
57708, 74, 50
57750, 71, 50
57795, 51, 50
57835, 30, -50
57876, 14, -50
57917, 7, -50
57957, 8, -50
57998, 5, -50
58039, 14, -50
58080, 46, 50
58125, 73, 50
58166, 79, 50
58206, 80, 50
58247, 80, 50
58287, 77, 50
58328, 47, 50
58369, 13, -50
58410, 5, -50
58455, 6, -50
58496, 6, -50
58536, 6, -50
58577, 6, -50
58618, 27, -50
58659, 66, 50
58700, 77, 50
58744, 78, 50
58786, 78, 50
58827, 79, 50
58867, 79, 50
58909, 70, 50
58950, 36, -50
58991, 9, -50
59035, 6, -50
59076, 6, -50
59116, 6, -50
59156, 31, -50
59198, 66, 50
59238, 80, 50
59278, 83, 50
59318, 83, 50
59358, 83, 50
59398, 80, 50
59438, 51, 50
59479, 17, -50
59519, 7, -50
59559, 6, -50
59603, 6, -50
59645, 6, -50
59686, 6, -50
59726, 25, -50
59770, 55, 50
59810, 70, 50
59850, 75, 50
59895, 75, 50
59936, 74, 50
59977, 70, 50
60017, 54, 50
60057, 32, -50
60098, 11, -50
60139, 6, -50
60180, 5, -50
60225, 8, -50
60266, 18, -50
60306, 45, 50
60348, 61, 50
60388, 70, 50
60428, 70, 50
60469, 66, 50
60513, 58, 50
60555, 36, -50
60597, 16, -50
60637, 7, -50
60678, 6, -50
60720, 8, -50
60764, 29, -50
60804, 50, 50
60846, 62, 50
60886, 69, 50
60926, 68, 50
60966, 66, 50
61010, 66, 50
61054, 57, 50
61096, 30, -50
61137, 14, -50
61177, 11, -50
61218, 10, -50
61258, 12, -50
61298, 15, -50
61338, 31, -50
61378, 54, 50
61418, 69, 50
61458, 73, 50
61499, 73, 50
61539, 73, 50
61580, 73, 50
61624, 66, 50
61666, 34, -50
61706, 12, -50
61746, 6, -50
61786, 5, -50
61827, 7, -50
61870, 29, -50
61915, 56, 50
61956, 68, 50
61998, 74, 50
62039, 74, 50
62083, 73, 50
62125, 59, 50
62166, 26, -50
62207, 8, -50
62248, 5, -50
62288, 6, -50
